pair_mean,difference,manual,automatic,method,representation,source_index,series_id,magnification,hardness_scale,hardness_level,applied_force_n,ball_diameter_mm,serial_number
7.1173722992654,0.04984905276662932,1202.8485,1264.3290000000002,Brinell,log_ratio,139,Brinell|SN=8301-50DW|scale=HBW 10/500|F=4905N|ball=10mm|mag=10X,10X,HBW 10/500,10,4905.0,10.0,8301-50DW
7.102235102094387,0.016032047857592602,1204.981,1224.455,Brinell,log_ratio,140,Brinell|SN=8301-50DW|scale=HBW 10/500|F=4905N|ball=10mm|mag=10X,10X,HBW 10/500,10,4905.0,10.0,8301-50DW
8.485106182231114,0.004098312434203777,4832.199500000001,4852.044,Brinell,log_ratio,141,Brinell|SN=812-006|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,20X,HBW 10/3000,10,29430.0,10.0,812-006
8.489941723848546,0.0061136469408520355,4850.732,4880.478499999999,Brinell,log_ratio,142,Brinell|SN=812-006|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,20X,HBW 10/3000,10,29430.0,10.0,812-006
8.485720520863268,0.002336386729902884,4839.4305,4850.7505,Brinell,log_ratio,143,Brinell|SN=812-006|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,20X,HBW 10/3000,10,29430.0,10.0,812-006
8.246301783670184,0.003741839383344825,3806.3685,3820.638,Brinell,log_ratio,144,Brinell|SN=810-202|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,20X,HBW 10/3000,10,29430.0,10.0,810-202
8.248275470645982,0.01026655665449816,3801.4665,3840.6955,Brinell,log_ratio,145,Brinell|SN=810-202|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,20X,HBW 10/3000,10,29430.0,10.0,810-202
8.244961928539958,0.0007747367172292741,3806.9155,3809.866,Brinell,log_ratio,146,Brinell|SN=810-202|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,20X,HBW 10/3000,10,29430.0,10.0,810-202
7.886000781971662,0.0024156076845391894,2656.575,2663.0,Brinell,log_ratio,147,Brinell|SN=8301-50DW|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,20X,HBW 10/3000,10,29430.0,10.0,8301-50DW
7.882743903300454,0.004410933983843179,2645.2965000000004,2656.9905,Brinell,log_ratio,148,Brinell|SN=8301-50DW|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,20X,HBW 10/3000,10,29430.0,10.0,8301-50DW
7.881108904309662,0.0008906961572492378,2645.6275,2647.9849999999997,Brinell,log_ratio,149,Brinell|SN=8301-50DW|scale=HBW 10/3000|F=29430N|ball=10mm|mag=20X,20X,HBW 10/3000,10,29430.0,10.0,8301-50DW
44.2965,0.1629999999999967,44.215,44.378,Micro-Vickers,absolute,60,Micro-Vickers|SN=710-404|scale=HV 0.05|F=0.4905N|mag=50X,50X,HV 0.05,0.05,0.4905,,710-404
43.64575,0.08650000000000091,43.6025,43.689,Micro-Vickers,absolute,61,Micro-Vickers|SN=710-404|scale=HV 0.05|F=0.4905N|mag=50X,50X,HV 0.05,0.05,0.4905,,710-404
42.269999999999996,0.1600000000000037,42.19,42.35,Micro-Vickers,absolute,62,Micro-Vickers|SN=710-404|scale=HV 0.05|F=0.4905N|mag=50X,50X,HV 0.05,0.05,0.4905,,710-404
28.6085,0.03200000000000003,28.5925,28.6245,Micro-Vickers,absolute,63,Micro-Vickers|SN=711-081|scale=HV 0.05|F=0.4905N|mag=50X,50X,HV 0.05,0.05,0.4905,,711-081
29.128500000000003,0.0920000000000023,29.0825,29.174500000000002,Micro-Vickers,absolute,64,Micro-Vickers|SN=711-081|scale=HV 0.05|F=0.4905N|mag=50X,50X,HV 0.05,0.05,0.4905,,711-081
28.65525,0.07549999999999812,28.6175,28.692999999999998,Micro-Vickers,absolute,65,Micro-Vickers|SN=711-081|scale=HV 0.05|F=0.4905N|mag=50X,50X,HV 0.05,0.05,0.4905,,711-081
20.872999999999998,0.062000000000001165,20.842,20.904,Micro-Vickers,absolute,66,Micro-Vickers|SN=710-655|scale=HV 0.05|F=0.4905N|mag=50X,50X,HV 0.05,0.05,0.4905,,710-655
20.74725,-0.03049999999999997,20.7625,20.732,Micro-Vickers,absolute,67,Micro-Vickers|SN=710-655|scale=HV 0.05|F=0.4905N|mag=50X,50X,HV 0.05,0.05,0.4905,,710-655
20.982,0.07800000000000296,20.942999999999998,21.021,Micro-Vickers,absolute,68,Micro-Vickers|SN=710-655|scale=HV 0.05|F=0.4905N|mag=50X,50X,HV 0.05,0.05,0.4905,,710-655
94.4515,0.1529999999999916,94.375,94.52799999999999,Micro-Vickers,absolute,69,Micro-Vickers|SN=711-081|scale=HV 0.5|F=4.905N|mag=50X,50X,HV 0.5,0.5,4.905,,711-081
93.23349999999999,0.23999999999999488,93.1135,93.3535,Micro-Vickers,absolute,70,Micro-Vickers|SN=711-081|scale=HV 0.5|F=4.905N|mag=50X,50X,HV 0.5,0.5,4.905,,711-081
94.22575,0.03849999999999909,94.2065,94.245,Micro-Vickers,absolute,71,Micro-Vickers|SN=711-081|scale=HV 0.5|F=4.905N|mag=50X,50X,HV 0.5,0.5,4.905,,711-081
53.95525,-0.11450000000000671,54.0125,53.897999999999996,Micro-Vickers,absolute,72,Micro-Vickers|SN=706-437|scale=HV 0.5|F=4.905N|mag=50X,50X,HV 0.5,0.5,4.905,,706-437
53.792500000000004,0.10699999999999932,53.739000000000004,53.846000000000004,Micro-Vickers,absolute,73,Micro-Vickers|SN=706-437|scale=HV 0.5|F=4.905N|mag=50X,50X,HV 0.5,0.5,4.905,,706-437
54.1895,0.14100000000000534,54.119,54.260000000000005,Micro-Vickers,absolute,74,Micro-Vickers|SN=706-437|scale=HV 0.5|F=4.905N|mag=50X,50X,HV 0.5,0.5,4.905,,706-437
42.971000000000004,0.16200000000000614,42.89,43.05200000000001,Micro-Vickers,absolute,75,Micro-Vickers|SN=711-246|scale=HV 0.5|F=4.905N|mag=50X,50X,HV 0.5,0.5,4.905,,711-246
