series_id,method,source,serial_number,hardness_scale,hardness_level,applied_force_n,ball_diameter_mm,magnification,n,mean_dimension_um,sd_dimension_um,cv_percent,range_dimension_um,mean_d1_minus_d2_um,mean_abs_d1_minus_d2_um
Vickers|SN=221-101|scale=HV 50|F=490.5N|mag=20X,Vickers,manual,221-101,HV 50,50,490.5,,20X,3,321.80333333333334,0.12859756348131518,0.039961538666882,0.2459999999999809,0.11666666666667425,0.2446666666666791
Vickers|SN=221-101|scale=HV 50|F=490.5N|mag=20X,Vickers,automatic,221-101,HV 50,50,490.5,,20X,3,321.24916666666667,0.3292363639292121,0.10248629353514653,0.5715000000000146,0.40766666666669,0.40766666666669
Vickers|SN=293-250|scale=HV 100|F=981N|mag=20X,Vickers,manual,293-250,HV 100,100,981.0,,20X,3,1069.2361666666668,3.073468615966872,0.2874452540778133,6.125999999999976,-2.60966666666665,2.60966666666665
Vickers|SN=293-250|scale=HV 100|F=981N|mag=20X,Vickers,automatic,293-250,HV 100,100,981.0,,20X,3,1069.5240000000001,3.0570189319008443,0.28582985813322975,6.098500000000058,-2.448666666666668,2.5500000000000305
Vickers|SN=293-250|scale=HV 20|F=196.2N|mag=20X,Vickers,manual,293-250,HV 20,20,196.2,,20X,3,479.2791666666667,1.8649494854642703,0.38911549159017,3.43100000000004,0.1930000000000026,0.5783333333333568
Vickers|SN=293-250|scale=HV 20|F=196.2N|mag=20X,Vickers,automatic,293-250,HV 20,20,196.2,,20X,3,479.32733333333334,2.410308607488544,0.502852318211607,4.380499999999984,0.29066666666667135,0.7966666666666811
Vickers|SN=293-250|scale=HV 3|F=29.43N|mag=20X,Vickers,manual,293-250,HV 3,3,29.43,,20X,3,184.55616666666666,0.6166760359648734,0.3341400328706835,1.2320000000000277,-0.6443333333333214,0.6703333333333319
Vickers|SN=293-250|scale=HV 3|F=29.43N|mag=20X,Vickers,automatic,293-250,HV 3,3,29.43,,20X,3,184.5995,0.20798136935793063,0.11266626906244634,0.3675000000000068,-0.301666666666667,0.3136666666666675
Vickers|SN=293-250|scale=HV 50|F=490.5N|mag=20X,Vickers,manual,293-250,HV 50,50,490.5,,20X,3,756.2575,2.7340092812571206,0.3615183031252081,5.455500000000029,-0.3296666666666776,0.5109999999999673
Vickers|SN=293-250|scale=HV 50|F=490.5N|mag=20X,Vickers,automatic,293-250,HV 50,50,490.5,,20X,3,756.645,2.873364795844793,0.379750714779691,5.699500000000057,-0.4000000000000152,0.4000000000000152
Vickers|SN=294-367|scale=HV 100|F=981N|mag=20X,Vickers,manual,294-367,HV 100,100,981.0,,20X,3,781.4813333333332,0.2645214232029707,0.033848719338525984,0.46899999999993724,-1.3893333333333733,1.3893333333333733
Vickers|SN=294-367|scale=HV 100|F=981N|mag=20X,Vickers,automatic,294-367,HV 100,100,981.0,,20X,3,781.7035,0.24270506793230529,0.03104822582121038,0.4815000000000964,-0.9243333333333036,0.9243333333333036
Vickers|SN=294-367|scale=HV 20|F=196.2N|mag=20X,Vickers,manual,294-367,HV 20,20,196.2,,20X,3,349.19599999999997,0.35864362534416205,0.10270553653081996,0.7135000000000105,-0.036000000000001364,0.1353333333333353
Vickers|SN=294-367|scale=HV 20|F=196.2N|mag=20X,Vickers,automatic,294-367,HV 20,20,196.2,,20X,3,349.4751666666666,0.36651273283933045,0.1048751865075765,0.7185000000000628,-0.019666666666675308,0.41033333333331257
Vickers|SN=294-367|scale=HV 3|F=29.43N|mag=20X,Vickers,manual,294-367,HV 3,3,29.43,,20X,3,135.06199999999998,0.2846976466358858,0.2107903382416119,0.5680000000000405,0.37199999999999517,0.37199999999999517
Vickers|SN=294-367|scale=HV 3|F=29.43N|mag=20X,Vickers,automatic,294-367,HV 3,3,29.43,,20X,3,135.09083333333334,0.3326568552327366,0.24624680078174804,0.6585000000000036,0.3509999999999991,0.5990000000000085
Vickers|SN=294-367|scale=HV 50|F=490.5N|mag=20X,Vickers,manual,294-367,HV 50,50,490.5,,20X,3,551.6933333333334,0.43959195094239495,0.07968048993566382,0.8215000000000146,-0.7539999999999812,0.7800000000000485
Vickers|SN=294-367|scale=HV 50|F=490.5N|mag=20X,Vickers,automatic,294-367,HV 50,50,490.5,,20X,3,551.7326666666667,0.4336004305041436,0.07858886317603277,0.7540000000001328,-0.5966666666666546,1.0673333333333328
Vickers|SN=294-481|scale=HV 100|F=981N|mag=20X,Vickers,manual,294-481,HV 100,100,981.0,,20X,3,605.7116666666667,0.7088152674240176,0.11702189448071017,1.3665000000000873,-0.8339999999999842,0.8339999999999842
Vickers|SN=294-481|scale=HV 100|F=981N|mag=20X,Vickers,automatic,294-481,HV 100,100,981.0,,20X,3,605.5448333333334,0.9251257121782445,0.15277575849928718,1.822999999999979,-0.8296666666666775,0.8296666666666775
Vickers|SN=294-481|scale=HV 20|F=196.2N|mag=20X,Vickers,manual,294-481,HV 20,20,196.2,,20X,3,270.09549999999996,0.3533797532400315,0.1308351132247785,0.6404999999999745,0.167666666666643,0.19833333333330452
Vickers|SN=294-481|scale=HV 20|F=196.2N|mag=20X,Vickers,automatic,294-481,HV 20,20,196.2,,20X,3,269.91833333333335,0.2894021135605649,0.10721839824165266,0.5784999999999627,0.15133333333335486,0.2679999999999912
Vickers|SN=294-481|scale=HV 3|F=29.43N|mag=20X,Vickers,manual,294-481,HV 3,3,29.43,,20X,3,103.873,0.17281565322620387,0.16637206321777928,0.3185000000000002,-0.1593333333333362,0.3760000000000048
Vickers|SN=294-481|scale=HV 3|F=29.43N|mag=20X,Vickers,automatic,294-481,HV 3,3,29.43,,20X,3,104.22816666666667,0.22259061825092818,0.21356090716130302,0.4084999999999894,-0.03900000000000622,0.3329999999999984
Vickers|SN=294-481|scale=HV 50|F=490.5N|mag=20X,Vickers,manual,294-481,HV 50,50,490.5,,20X,3,426.5371666666667,0.19549062211096052,0.045832025293058215,0.3849999999999909,-0.34899999999998954,0.4469999999999838
Vickers|SN=294-481|scale=HV 50|F=490.5N|mag=20X,Vickers,automatic,294-481,HV 50,50,490.5,,20X,3,426.8151666666666,0.3608234794651522,0.08453857961119444,0.708500000000015,0.04966666666664802,0.6830000000000117
